user_id,1-195,1-121,1-120,1-119,1-118,1-117,1-116,1-127,195-127,127-137,137-177,177-215,215-136,136-150,150-149,149-140,140-148,148-152,152-377,1-137,1-177,1-215,1-136,1-150,1-149,1-140,1-148,1-152,1-377,1-248,1-456,1-437,1-277,1-349,1-348,1-347,1-346,1-345,1-447,1-454,195-454,454-323,323-361,361-288,288-397,397-365,365-379,379-378,378-400,400-377,1-323,1-361,1-288,1-397,1-365,1-379,1-378,1-400,1-3772,1-4003,MaskModel,Size
B02692,0.63424933,0.37311241,1.327044487,8.832909584,0.095208734,1.863590598,8.884594917,0.655984521,1.29023385,11.44442749,8.86582756,3.296893835,2.52533865,4.233808994,10.5300827,2.081716061,4.221550941,4.412437916,3.232434273,10.78844261,1.922614813,5.219508648,2.694170237,1.539638638,8.990444183,6.908728123,2.687177181,7.099615097,10.33204937,8.657066345,3.450530291,7.177780628,0.335224718,4.40474844,3.191888332,9.750299454,2.569078684,1.881168842,0.135894492,9.730980873,9.096731186,1.084484935,4.187039852,3.143568277,0.586296797,6.897489548,3.950960875,2.07503581,4.420667171,4.31029892,8.646495819,4.45945549,1.315887451,0.729590654,7.627080441,3.676119328,1.601083517,6.021750927,10.33204937,6.021750927,Vertical Fold,0
B02762,0.678635776,0.49671942,1.548724651,8.781049728,0.15746206,1.970166683,8.822937012,0.827908158,1.506543875,11.56670856,8.77136898,3.592148304,2.563229561,4.291326046,10.27833557,1.866316795,4.35688591,4.475356102,3.032338619,10.73880005,1.967431784,5.559579849,2.996350527,1.294975758,8.983360291,7.117043495,2.760157824,7.235513687,10.26785183,8.578668594,3.389816046,7.3629632,0.246009603,4.41038847,2.841692448,9.714682579,2.712802887,1.865054607,0.397357911,10.24118614,9.562550545,1.410920143,4.272870064,2.964695454,1.208230853,7.345774651,3.982417345,2.066567183,4.463550568,4.123042107,8.830265999,4.557395935,1.592700243,0.38446933,7.73024416,3.747826815,1.681259632,6.1448102,10.26785183,6.1448102,Vertical Fold,0
B02819,0.602066517,0.38741231,1.469533682,8.846417427,0.108780339,1.968575597,8.901590347,0.683604181,1.285670757,11.54558182,8.912050247,3.276762009,2.460586548,4.344002724,10.5779953,2.082809925,4.244431973,4.455730438,3.243413448,10.86197758,1.949927568,5.226689339,2.766103029,1.577899575,9.000095367,6.917285919,2.672853947,7.128584385,10.37199783,8.657619476,3.476587296,7.188236713,0.332002521,4.405287266,3.354034662,9.785220146,2.566722631,1.894790173,0.122811645,9.63543129,9.03336525,0.956246972,4.21367836,2.994422913,0.697302103,6.856025219,3.977368116,2.037787437,4.359559536,4.397788048,8.67918396,4.465506077,1.471082926,0.773780823,7.629805565,3.652437687,1.614650369,5.974210262,10.37199783,5.974210262,Vertical Fold,0
B03176,0.755618155,0.420363247,1.351076365,8.661292076,0.118333101,1.85507679,8.694903374,0.704333186,1.459951282,11.35698128,8.747096062,3.469602108,2.52154398,4.302176952,10.34963608,1.884031296,4.293629169,4.367485046,3.081032753,10.65264797,1.905552268,5.375154495,2.853610277,1.448566437,8.901069641,7.017038822,2.723409653,7.090894699,10.17192745,8.463783264,3.369059324,7.224516392,0.286090374,4.282217026,3.042859554,9.623317719,2.631445169,1.861429572,0.166677311,9.905934334,9.150316238,1.165534496,4.272398949,3.116034269,1.038345337,7.334162235,3.944348097,2.084874392,4.41301918,4.140347004,8.740399361,4.468000889,1.351966739,0.313621402,7.647784233,3.703435898,1.618561506,6.031580448,10.17192745,6.031580448,Vertical Fold,0
B03446,0.934297204,0.529072404,1.771608353,8.968076706,0.18113181,2.27637291,9.017995834,0.837881505,1.77217865,11.74860764,8.609395981,3.132987499,2.388740063,4.234721661,10.28884315,2.002242088,4.258103848,4.398821354,3.228142738,10.91072655,2.301329851,5.434317112,3.045577288,1.189144373,9.09969902,7.097456455,2.839352846,7.238174438,10.46631718,8.785111427,3.674012423,7.402858734,0.261415899,4.481624126,2.934489489,9.859109879,2.787549496,2.233916521,0.372905284,10.17944431,9.245146751,1.290683508,4.166675568,2.979445219,1.115807891,7.211709023,3.951150894,1.967333078,4.39332819,4.152931213,8.888760567,4.722085476,1.742640495,0.626832604,7.838541985,3.88739109,1.920057774,6.313385963,10.46631718,6.313385963,Vertical Fold,0
B03583,0.447667778,0.513595343,1.056062579,8.613426208,0.184448808,1.557611823,8.654854774,0.749046326,1.196714163,11.24853039,8.842619896,3.294255257,2.373412132,4.451963425,10.6021347,2.053552866,4.241290569,4.412937164,3.171673298,10.49948406,1.656865001,4.951120377,2.577708006,1.874255419,8.727879524,6.67432642,2.433035612,6.845972538,10.01764584,8.423051834,3.005115986,6.896666527,0.118721277,3.935925007,3.53468132,9.45566082,2.376825333,1.573526144,0.22976622,9.458304405,9.010637283,1.04675889,4.349902153,2.978220463,0.79557097,7.080600262,3.997658253,2.049385309,4.289481163,4.406756401,8.411545753,4.061643124,1.083422661,0.287851691,7.368452072,3.370793819,1.321408749,5.610889912,10.01764584,5.610889912,Vertical Fold,1
B03616,0.78402406,0.465065241,1.283651352,9.086882591,0.14301911,1.720489502,9.112232208,0.75148344,1.535507441,11.77447319,9.214611053,3.616363525,2.593664885,4.129846573,10.52952671,2.070254087,4.401759148,4.679758072,3.095665455,11.02299023,1.808379412,5.424743176,2.831078291,1.298768401,9.230758667,7.160504818,2.758745909,7.438503742,10.5341692,8.856543541,3.282727957,7.377942562,0.302184373,4.546382904,2.774474144,9.970515251,2.669168234,1.705948591,0.146525353,9.945006371,9.160983086,1.113956451,4.24355793,3.237928391,0.327319831,6.820558071,4.049799442,2.156560183,4.604014874,4.293712139,8.831049919,4.587492466,1.349564075,1.022244215,7.842802048,3.793002605,1.636442542,6.240457535,10.5341692,6.240457535,Vertical Fold,0
B03653,1.025213718,0.156065822,1.514636874,8.871526718,0.039777905,2.040218353,8.887876511,0.397071987,1.422285676,11.37000847,8.915304184,3.584679127,2.780121565,4.007493019,10.37315845,1.931020617,4.295617104,4.336207867,3.13614893,10.97293663,2.057632208,5.642311096,2.86218977,1.145303249,9.227855682,7.296834946,3.001217842,7.337425709,10.47357464,8.656533241,3.617643118,7.475952625,0.739461184,4.316950798,2.656800985,9.943572998,2.732504845,2.049027443,0.415587425,10.04589081,9.020677567,0.943958759,4.375814438,3.196139574,1.221184254,7.598172188,3.507628679,2.583867311,4.421386242,4.236718655,9.101931572,4.726117611,1.529978037,0.308793783,7.906965733,4.399337292,1.81546998,6.236855984,10.47357464,6.236855984,Vertical Fold,1
B03695,0.423162818,0.35969764,1.135639906,8.582210541,0.079483539,1.674432993,8.638739586,0.650360823,1.073523641,11.2675066,8.914963722,3.375174046,2.329511881,4.569906712,10.60243797,1.978123188,4.177998066,4.301484108,3.227484226,10.61714554,1.702181578,5.077355862,2.747843742,1.822062969,8.780375481,6.802251816,2.62425375,6.925737858,10.15322208,8.40111351,3.375865459,7.030305386,0.321200848,4.060091496,3.589480639,9.55106926,2.539414406,1.649865866,0.138358772,9.130271912,8.707109451,0.557824612,4.278655052,3.178195715,0.825304329,7.181704044,3.936897516,2.159252644,4.344779015,4.43259716,8.572446823,4.293791771,1.115596056,0.290291756,7.471996307,3.535098553,1.37584579,5.720624924,10.15322208,5.720624924,Vertical Fold,1
B03893,0.710287869,0.33615455,1.323416591,8.71720314,0.083706528,1.832929969,8.763390541,0.652505457,1.362793326,11.3500042,8.783209801,3.507385492,2.587942839,4.292719841,10.42979717,1.963463426,4.307862759,4.474574089,3.065905094,10.69749928,1.914288998,5.421674252,2.833731413,1.458988309,8.970808983,7.007345676,2.699482918,7.174057007,10.23996162,8.526319504,3.371320963,7.277610779,0.344821632,4.391356468,2.958902836,9.690507889,2.580519676,1.871453643,0.3680529,10.29869461,9.588406563,1.545785427,4.254261494,3.171594381,0.876078546,7.222294807,3.975754261,2.045418501,4.366210461,4.221654892,8.75290966,4.49864769,1.327053666,0.45097506,7.673269272,3.697515249,1.652096748,6.018307209,10.23996162,6.018307209,Vertical Fold,0
B03950,0.697910249,0.551686406,1.53884089,8.622154236,0.190513581,1.999142766,8.687921524,0.828040361,1.52595067,11.34170914,8.462137222,3.180921078,2.437643766,4.185348511,10.18361282,1.894679666,4.258655071,4.338871002,3.066772223,10.51366806,2.051531792,5.232452393,2.794808865,1.390539885,8.793072701,6.898393631,2.63973856,6.978609562,10.04538155,8.467569351,3.381570101,7.138334751,0.14141947,4.190953255,3.258214951,9.501275063,2.596576452,1.984182596,0.05703494,9.896537781,9.198627472,1.278794527,4.232201576,2.834419489,1.276808619,7.291666985,3.933700085,1.973476768,4.394219875,3.992358685,8.617743492,4.385541439,1.551121831,0.274313241,7.565980434,3.63228035,1.658803463,6.053022861,10.04538155,6.053022861,Vertical Fold,0
B04593,0.819245517,0.410622358,1.417769909,8.805150032,0.104817748,1.908337831,8.835739136,0.728544235,1.547789812,11.54375553,8.868589401,3.607102394,2.574673176,4.255704403,10.34622383,1.890787482,4.343243122,4.426331997,3.091138601,10.81521225,1.946622372,5.553724766,2.97905159,1.276652932,9.069570541,7.178783417,2.835540295,7.261872292,10.35301113,8.597385406,3.466970921,7.383769989,0.343858838,4.441920757,2.782890558,9.799373627,2.745125532,1.885729074,0.340523958,10.13942337,9.320178032,1.248532534,4.256409645,3.213468075,0.964112937,7.334630966,3.952075243,2.130723953,4.495383263,4.148896217,8.890891075,4.634480953,1.421012878,0.456899971,7.791531086,3.839455605,1.708731651,6.204114914,10.35301113,6.204114914,Vertical Fold,1
